payment_id,payment_type,payment_date,amount,payment_status
145,UPI,2020-11-01 06:00,555.85,Refunded
146,Net Banking,2021-01-10 17:42,808.06,Failed
147,Credit Card,2020-04-14 22:10,528.34,Failed
148,Debit Card,2022-12-18 14:59,200.51,Refunded
149,UPI,2021-12-14 07:35,299.63,Completed
150,UPI,2023-07-18 23:46,759.03,Completed
151,Credit Card,2023-04-12 10:44,239.83,Completed
152,Credit Card,2022-09-03 05:52,668.91,Failed
153,UPI,2022-01-02 11:59,319.54,Refunded
154,Debit Card,2022-07-18 01:05,701.55,Failed
155,Debit Card,2022-08-28 20:44,194.61,Completed
156,Net Banking,2022-07-22 12:05,207.8,Failed
157,UPI,2022-02-28 03:57,104.51,Completed
158,Credit Card,2023-09-29 06:12,324.29,Failed
159,UPI,2022-05-16 21:08,721.95,Refunded
160,Debit Card,2022-05-21 14:48,264.75,Completed
161,Debit Card,2022-05-18 08:28,38.46,Failed
162,Credit Card,2022-11-12 23:48,975.95,Refunded
163,Net Banking,2022-03-14 08:09,168.19,Refunded
164,Credit Card,2022-05-18 01:40,575.31,Completed
165,Net Banking,2021-05-07 22:30,29.98,Completed
166,UPI,2020-05-31 01:25,441.47,Failed
167,Credit Card,2021-09-28 04:59,342.23,Refunded
168,UPI,2023-06-14 10:56,823.29,Refunded
169,Debit Card,2020-09-13 03:36,915.24,Refunded
170,Net Banking,2022-06-21 06:57,235.29,Completed
171,Debit Card,2021-03-16 10:36,287.59,Completed
172,Credit Card,2021-09-23 10:40,507.06,Completed
173,UPI,2023-08-24 15:33,160.73,Completed
174,UPI,2023-05-29 06:37,817.75,Failed
175,UPI,2022-01-20 14:56,55.74,Refunded
176,Debit Card,2023-02-06 02:27,183.95,Refunded
177,Debit Card,2020-08-07 04:45,253.85,Completed
178,Net Banking,2022-01-10 13:43,769.44,Failed
179,Net Banking,2022-08-13 20:39,192.96,Refunded
180,Credit Card,2020-08-13 23:16,721.15,Failed
181,Credit Card,2021-08-07 22:44,632.42,Completed
182,Credit Card,2022-12-03 19:06,852.33,Completed
183,UPI,2021-05-24 19:36,441.52,Refunded
184,UPI,2021-04-05 17:10,916.2,Completed
185,Credit Card,2023-08-30 20:34,857.2,Refunded
186,Net Banking,2022-09-17 11:14,127.52,Refunded
187,Credit Card,2021-10-18 04:05,25.64,Completed
188,Credit Card,2022-08-15 14:53,608.91,Failed
189,UPI,2020-05-11 19:59,910.6,Completed
190,Debit Card,2022-11-08 22:29,120.43,Failed
191,Debit Card,2023-06-12 11:06,92.55,Completed
192,Net Banking,2021-04-13 16:44,821.9,Completed
193,Debit Card,2020-07-19 14:21,597.77,Completed
194,Net Banking,2023-03-07 12:52,900.89,Failed
195,Net Banking,2021-03-22 04:29,682.6,Failed
196,Net Banking,2020-08-21 16:31,775.15,Failed
197,Debit Card,2023-03-02 11:05,518.71,Failed
198,Net Banking,2020-01-03 18:52,447.65,Failed
199,UPI,2023-05-03 18:08,743.08,Refunded
200,Credit Card,2022-02-03 14:35,864.75,Completed
201,UPI,2021-07-15 13:38,324.62,Completed
202,Debit Card,2020-01-13 09:55,139.62,Refunded
203,Net Banking,2022-12-02 09:12,251.6,Failed
204,Credit Card,2021-03-12 20:12,747.33,Failed
205,UPI,2020-04-23 23:18,178.4,Failed
206,Net Banking,2022-07-15 20:37,763.62,Completed
207,Debit Card,2023-08-21 11:14,781.32,Failed
208,Credit Card,2023-05-23 07:46,783.06,Completed
209,UPI,2022-04-15 20:59,688,Failed
210,UPI,2021-09-01 10:30,629.18,Refunded
211,Debit Card,2021-05-06 21:47,790.92,Refunded
212,Credit Card,2020-04-01 16:47,84.76,Completed
213,Debit Card,2022-07-03 07:58,180.8,Completed
214,UPI,2020-07-24 07:00,251.25,Failed
215,Net Banking,2020-05-03 04:12,109.54,Failed
216,Debit Card,2020-10-31 07:08,12.89,Completed
217,Debit Card,2022-01-10 18:58,798.13,Completed
218,Credit Card,2023-01-31 07:43,742.83,Refunded
219,Credit Card,2022-03-03 00:14,527.74,Refunded
220,Net Banking,2021-03-31 23:36,421.18,Completed
221,Debit Card,2023-01-05 05:11,569.69,Refunded
222,Credit Card,2023-08-21 20:56,939.03,Failed
223,Debit Card,2022-02-18 11:08,604.23,Failed
224,UPI,2023-08-20 17:03,491.23,Failed
225,Debit Card,2020-04-04 12:40,52.31,Failed
226,Debit Card,2020-06-14 16:31,264.41,Refunded
227,Credit Card,2020-04-13 05:45,966.86,Completed
228,Net Banking,2020-08-21 07:32,439.36,Failed
229,UPI,2020-02-26 15:58,796.51,Refunded
230,UPI,2020-08-01 13:02,188.5,Failed
231,Credit Card,2022-12-19 23:43,377.6,Completed
232,Credit Card,2023-06-28 14:26,272.18,Refunded
233,UPI,2022-01-10 14:00,266.95,Failed
234,Net Banking,2023-05-25 10:01,477.88,Refunded
235,Net Banking,2021-12-05 19:25,345.05,Completed
236,Debit Card,2022-07-17 13:10,433.51,Completed
237,Debit Card,2022-06-18 07:53,451.69,Refunded
238,Credit Card,2022-10-23 15:01,505.47,Completed
239,Net Banking,2021-05-07 02:38,588.81,Failed
240,Credit Card,2020-10-02 14:53,744.76,Failed
241,Net Banking,2023-01-18 01:28,226.57,Completed
242,UPI,2022-01-14 04:10,499.47,Failed
243,Credit Card,2021-02-04 03:40,549.03,Refunded
244,Net Banking,2021-08-09 02:52,824.93,Completed
245,Debit Card,2020-10-13 11:29,225.24,Refunded
246,UPI,2023-09-28 08:23,386.97,Completed
247,UPI,2021-08-31 14:37,789.58,Failed
248,Debit Card,2022-10-09 18:13,430.02,Refunded
249,Debit Card,2020-01-02 07:45,303.89,Refunded
250,Credit Card,2020-05-26 09:30,807.48,Failed
251,Credit Card,2021-09-02 23:59,182.37,Refunded
252,Credit Card,2022-02-06 04:39,193.71,Refunded
253,Debit Card,2020-08-18 04:42,604.96,Refunded
254,Net Banking,2021-02-28 14:06,888.3,Failed
255,UPI,2022-09-08 20:34,36.94,Failed
256,Net Banking,2021-10-03 19:56,383.34,Refunded
257,Net Banking,2023-04-29 22:15,515.41,Failed
258,Credit Card,2021-03-19 05:39,383.63,Refunded
259,Debit Card,2020-01-07 13:49,38.02,Refunded
260,Debit Card,2022-09-23 19:45,686.08,Refunded
261,Debit Card,2022-04-02 13:13,731.65,Refunded
262,Credit Card,2021-12-06 19:37,580.89,Completed
263,Debit Card,2023-05-01 05:04,122.48,Refunded
264,Debit Card,2022-09-15 10:12,935.69,Failed
265,UPI,2023-05-10 15:39,230.82,Completed
266,Credit Card,2021-06-25 06:27,59.38,Refunded
267,Debit Card,2023-03-31 23:18,103.25,Refunded
268,Net Banking,2020-12-14 14:08,137,Completed
269,UPI,2022-09-09 01:39,132.84,Completed
270,Credit Card,2020-06-28 11:01,541.11,Failed
271,Net Banking,2023-08-28 13:59,62.89,Failed
272,UPI,2022-07-06 22:20,530.56,Refunded
273,UPI,2023-03-26 20:56,482.29,Failed
274,Net Banking,2023-07-02 11:26,604.26,Failed
275,Debit Card,2020-10-03 20:14,115.39,Completed
276,Credit Card,2021-07-25 05:30,550.82,Failed
277,UPI,2022-05-05 03:36,362.39,Refunded
278,Credit Card,2023-02-06 02:54,623.61,Refunded
279,Credit Card,2020-01-20 13:24,438.34,Failed
280,Debit Card,2023-07-18 16:22,802.78,Refunded
281,UPI,2022-04-12 07:39,862.95,Completed
282,Net Banking,2021-02-13 00:18,830.8,Completed
283,Net Banking,2022-01-20 22:53,834.48,Failed
284,Debit Card,2022-04-28 18:06,112.32,Refunded
285,UPI,2023-05-31 05:40,416.42,Failed
286,Credit Card,2020-06-30 18:45,578.22,Completed
287,Credit Card,2022-03-13 19:06,535.1,Completed
288,Credit Card,2020-08-21 19:25,765.97,Refunded
289,Credit Card,2022-10-20 20:14,86.09,Failed
290,UPI,2021-01-21 20:03,797.39,Refunded
291,Debit Card,2020-08-23 15:47,395.13,Refunded
292,Debit Card,2022-05-13 12:02,921.71,Completed
293,Credit Card,2022-08-20 13:42,617.78,Refunded
294,UPI,2021-07-02 19:18,582.61,Completed
295,UPI,2023-05-18 11:23,836.45,Completed
296,Net Banking,2020-11-30 05:54,605.36,Refunded
297,UPI,2022-01-30 19:32,520.73,Failed
298,Debit Card,2021-11-30 21:13,697.9,Completed
299,Credit Card,2020-11-09 01:44,487.01,Failed
300,Debit Card,2023-05-21 21:59,635.8,Completed
301,UPI,2021-12-01 12:50,114.78,Failed
302,Credit Card,2023-05-14 02:01,703.56,Completed
303,UPI,2023-02-16 06:47,881.78,Completed
304,UPI,2022-10-07 04:31,868.97,Completed
305,Credit Card,2021-01-08 09:41,709.6,Failed
306,Credit Card,2020-09-05 17:35,699.25,Failed
307,Debit Card,2023-03-16 03:48,602.25,Failed
308,UPI,2020-07-19 11:46,826.57,Refunded
309,UPI,2021-10-13 16:34,241.42,Failed
310,Net Banking,2021-03-21 20:36,778.22,Refunded
311,Debit Card,2020-01-18 13:33,895.81,Failed
312,Net Banking,2022-12-03 10:42,664.86,Failed
313,Credit Card,2023-08-25 00:01,591.27,Refunded
314,UPI,2022-01-12 15:46,883.11,Refunded
315,Net Banking,2020-10-04 11:56,633.34,Refunded
316,Credit Card,2023-02-25 00:48,985.42,Refunded
317,Debit Card,2020-08-08 01:06,466.29,Refunded
318,Debit Card,2021-11-04 02:17,654.34,Completed
319,Net Banking,2022-03-31 21:47,513.14,Completed
320,Debit Card,2021-03-17 00:10,963.36,Failed
321,Debit Card,2022-05-28 12:38,458.29,Failed
322,Debit Card,2020-09-04 07:21,484.03,Completed
323,UPI,2020-01-23 16:25,709.28,Completed
324,UPI,2020-09-28 22:07,653.95,Refunded
325,Debit Card,2021-07-07 07:47,103.12,Refunded
326,Debit Card,2020-05-05 02:18,417.68,Completed
327,Debit Card,2021-04-25 13:51,439.54,Failed
328,Credit Card,2020-07-11 05:02,892.64,Completed
329,UPI,2021-08-17 19:54,275.77,Failed
330,UPI,2020-11-14 20:12,672.71,Refunded
331,Credit Card,2020-11-18 04:18,696.2,Completed
332,UPI,2020-01-15 07:03,700.73,Failed
333,Net Banking,2022-04-22 23:03,357.53,Completed
334,Credit Card,2023-09-30 16:41,738.48,Failed
335,Credit Card,2021-11-19 19:50,422.36,Failed
336,Credit Card,2023-06-08 23:52,804.68,Failed
337,Credit Card,2021-09-24 14:02,500.04,Completed
338,Credit Card,2021-01-29 10:50,472.78,Failed
339,UPI,2023-07-27 01:02,142.89,Failed
340,Credit Card,2023-07-21 09:57,627.35,Refunded
341,Debit Card,2022-02-28 04:28,861.48,Refunded
342,Credit Card,2020-02-25 03:37,646.57,Failed
343,Net Banking,2021-10-16 03:46,620.34,Completed
344,Debit Card,2020-03-13 20:46,637.83,Completed
345,Debit Card,2022-09-10 21:08,388.41,Failed
346,Net Banking,2023-04-09 11:58,667.33,Failed
347,Debit Card,2020-12-09 05:41,574.15,Completed
348,Debit Card,2023-01-05 05:35,389.89,Refunded
349,UPI,2020-07-09 21:05,836.42,Refunded
350,Debit Card,2023-05-31 12:19,680.04,Refunded
351,Debit Card,2021-09-17 14:57,135.55,Refunded
352,Debit Card,2021-08-25 12:16,12.18,Failed
353,Debit Card,2022-11-15 05:03,747.23,Failed
354,Net Banking,2021-01-26 13:04,209.56,Failed
355,Debit Card,2021-05-02 20:42,264.78,Failed
356,UPI,2020-07-28 00:58,939.68,Refunded
357,Net Banking,2022-06-12 10:19,903.5,Failed
358,Credit Card,2022-11-05 18:04,440.31,Failed
359,UPI,2020-12-25 07:12,291.44,Refunded
360,Debit Card,2022-02-24 04:06,944.34,Completed
361,UPI,2021-12-04 22:13,30.62,Failed
362,Debit Card,2021-11-27 08:43,822.98,Completed
363,UPI,2020-11-30 19:10,974.34,Refunded
364,UPI,2023-05-31 15:42,279.26,Failed
365,Credit Card,2021-05-24 11:27,573.63,Refunded
366,Net Banking,2021-08-03 08:27,333.49,Failed
367,Credit Card,2022-08-21 17:53,410.81,Completed
368,UPI,2022-07-26 02:30,133.35,Refunded
369,Debit Card,2020-01-10 13:42,47.26,Refunded
370,UPI,2021-07-15 11:24,145.01,Refunded
371,Net Banking,2021-03-10 05:54,935.22,Failed
372,Net Banking,2023-09-27 02:51,383.52,Failed
373,Net Banking,2022-07-10 04:28,593.15,Refunded
374,UPI,2022-07-24 04:14,26.24,Refunded
375,Credit Card,2022-07-26 12:47,703.28,Refunded
376,Credit Card,2022-06-06 22:50,588.4,Completed
377,UPI,2023-06-26 19:56,445.91,Completed
378,Credit Card,2020-02-23 22:52,963.74,Completed
379,UPI,2022-07-06 10:26,111.6,Failed
380,Net Banking,2022-01-04 05:03,424.64,Refunded
381,UPI,2020-01-01 01:17,656.09,Completed
382,Net Banking,2020-02-10 12:23,689.36,Failed
383,Net Banking,2023-09-18 06:47,299.61,Refunded
384,Debit Card,2021-02-22 18:12,291.25,Completed
385,UPI,2023-06-04 10:19,888.72,Failed
386,UPI,2020-02-08 03:01,884.11,Failed
387,UPI,2020-02-04 19:14,649.26,Failed
388,Net Banking,2023-03-26 22:40,793.08,Completed
389,Net Banking,2021-12-03 12:44,317.76,Completed
390,UPI,2020-12-30 08:04,797.45,Failed
391,Credit Card,2022-08-23 18:54,833.12,Refunded
392,Debit Card,2021-11-09 12:21,803.52,Completed
393,UPI,2020-03-09 16:28,846.04,Failed
394,Credit Card,2021-05-07 14:17,543.53,Refunded
395,Net Banking,2022-05-26 00:19,747.12,Failed
396,UPI,2022-11-19 23:17,992.79,Completed
397,Net Banking,2021-05-25 18:26,522.13,Failed
398,Debit Card,2022-04-13 00:28,860.86,Completed
399,Net Banking,2021-02-05 11:38,329.85,Failed
400,Debit Card,2020-02-08 16:42,722.89,Completed
401,Credit Card,2020-06-11 02:33,851.65,Completed
402,Net Banking,2023-01-29 15:27,582.32,Refunded
403,UPI,2020-06-21 08:13,967.17,Refunded
404,Debit Card,2020-01-04 10:54,761.5,Refunded
405,UPI,2020-10-28 10:45,907.49,Refunded
406,Net Banking,2022-07-30 00:45,356.78,Failed
407,Net Banking,2020-04-09 18:21,892.62,Failed
408,UPI,2022-04-29 07:24,155.21,Completed
409,Net Banking,2021-03-17 05:45,261.19,Refunded
410,UPI,2021-03-08 12:28,632.58,Failed
411,Net Banking,2022-11-07 15:31,783.07,Failed
412,Debit Card,2021-04-21 17:10,113.9,Completed
413,Debit Card,2021-02-05 11:05,230.13,Failed
414,Net Banking,2020-06-30 16:29,482.01,Refunded
415,Credit Card,2022-07-07 18:47,883.97,Completed
416,Net Banking,2021-09-09 22:10,287.14,Failed
417,Net Banking,2022-08-03 23:50,887.28,Completed
418,Net Banking,2020-10-05 20:53,394.24,Failed
419,Net Banking,2023-01-07 13:15,320.03,Completed
420,Net Banking,2022-10-12 20:05,272.32,Failed
421,UPI,2023-06-09 14:52,279.89,Failed
422,Debit Card,2021-08-07 10:26,840.92,Refunded
423,UPI,2020-10-10 17:45,591.56,Completed
424,Net Banking,2022-07-30 13:21,789.34,Completed
425,Debit Card,2022-09-02 06:11,395.4,Failed
426,Net Banking,2021-07-30 08:17,34.77,Completed
427,Credit Card,2022-09-10 23:35,427.04,Failed
428,Credit Card,2021-09-23 16:05,600.81,Failed
429,Debit Card,2021-09-02 05:48,97.38,Failed
430,Net Banking,2021-03-01 04:00,655.22,Completed
431,Credit Card,2023-06-27 10:06,592.48,Completed
432,Credit Card,2023-03-15 03:36,852.59,Refunded
433,Credit Card,2022-04-17 04:20,378.87,Failed
434,Debit Card,2021-05-10 23:44,747.42,Refunded
435,UPI,2021-12-04 09:23,251.72,Failed
436,Net Banking,2022-01-18 08:34,253.54,Completed
437,Debit Card,2020-09-23 20:15,942.07,Failed
438,Credit Card,2023-07-16 17:48,686.7,Refunded
439,Credit Card,2020-03-16 07:04,267.63,Completed
440,Credit Card,2020-05-23 03:28,69.33,Completed
441,UPI,2023-04-12 01:37,989.7,Refunded
442,UPI,2022-05-13 05:43,87.02,Refunded
443,Net Banking,2021-10-05 06:03,993.68,Completed
444,Credit Card,2021-10-13 05:29,507.36,Refunded
445,Net Banking,2021-07-20 17:44,407.78,Completed
446,UPI,2021-09-19 03:25,475.68,Failed
447,Credit Card,2022-11-11 00:21,646.41,Refunded
448,Net Banking,2022-11-12 07:25,491.99,Completed
449,UPI,2022-08-03 22:34,735.75,Failed
450,Net Banking,2023-08-26 12:13,859.91,Failed
451,Debit Card,2023-06-11 14:24,25.66,Failed
452,Debit Card,2022-01-25 22:42,410.07,Refunded
453,UPI,2020-02-04 06:44,531.49,Refunded
454,Credit Card,2021-07-19 04:12,721.15,Refunded
455,Debit Card,2021-04-19 15:40,13.57,Completed
456,Debit Card,2022-10-13 10:56,428.58,Failed
457,Credit Card,2021-10-08 09:47,285.46,Failed
458,Debit Card,2023-06-30 02:47,539.68,Completed
459,Debit Card,2020-05-17 18:28,260.84,Failed
460,Credit Card,2021-03-18 03:14,876.91,Refunded
461,Net Banking,2022-02-09 03:59,41.91,Failed
462,UPI,2022-07-12 22:28,868.94,Completed
463,Credit Card,2021-06-02 18:58,459.25,Refunded
464,UPI,2020-12-09 20:30,268.54,Failed
465,UPI,2020-09-19 17:26,12.64,Failed
466,UPI,2021-07-31 10:12,112.08,Refunded
467,Debit Card,2021-04-07 01:37,785.26,Failed
468,Debit Card,2022-01-01 20:57,992.19,Refunded
469,Net Banking,2022-04-27 18:31,316.99,Failed
470,Net Banking,2021-09-11 21:11,104.56,Completed
471,Debit Card,2022-01-20 21:17,85.59,Refunded
472,Debit Card,2020-01-18 18:24,149.94,Refunded
473,UPI,2021-02-04 18:25,274.86,Failed
474,UPI,2022-12-30 14:42,816.57,Failed
475,Debit Card,2023-06-27 02:23,936.31,Refunded
476,UPI,2023-07-30 02:07,176.11,Completed
477,Net Banking,2023-02-01 08:39,606.29,Failed
478,Credit Card,2023-03-28 17:00,527.29,Refunded
479,Credit Card,2020-12-15 16:50,971.41,Refunded
480,Net Banking,2021-11-07 22:17,367.4,Refunded
481,Credit Card,2022-02-10 04:05,466.11,Refunded
482,Debit Card,2021-03-16 06:34,542.66,Completed
483,Debit Card,2021-09-29 21:16,537.17,Refunded
484,Credit Card,2023-01-26 04:41,892.61,Completed
485,Credit Card,2021-02-05 08:59,960.91,Completed
486,UPI,2022-02-27 18:44,197.19,Completed
487,Debit Card,2021-09-30 02:26,915.58,Completed
488,UPI,2023-03-22 13:23,468.68,Completed
489,Credit Card,2023-04-18 01:40,738.15,Completed
490,Debit Card,2020-05-09 16:29,519.86,Completed
491,Net Banking,2021-01-30 14:21,302.24,Completed
492,UPI,2022-04-02 09:28,97.24,Completed
493,Credit Card,2021-11-11 03:13,883.83,Failed
494,UPI,2021-02-04 10:24,850.49,Completed
495,UPI,2021-04-02 01:57,48.6,Completed
496,UPI,2021-08-30 03:27,20.16,Failed
497,Credit Card,2020-07-23 09:00,894.77,Refunded
498,Net Banking,2022-01-08 19:02,617.77,Failed
499,UPI,2021-10-16 07:34,462.05,Refunded
500,Net Banking,2021-05-01 06:31,751.82,Failed
501,UPI,2021-09-13 01:22,128.48,Refunded
502,Debit Card,2023-05-08 16:26,595.1,Completed
503,Net Banking,2023-06-11 05:34,859.11,Refunded
504,UPI,2021-11-29 14:29,161.17,Failed
505,UPI,2020-06-17 16:46,935.59,Refunded
506,Credit Card,2020-02-16 05:52,425.16,Completed
507,Net Banking,2023-08-05 00:52,386.73,Refunded
508,Credit Card,2020-02-05 22:01,68.28,Refunded
509,Debit Card,2020-11-23 15:34,667.51,Completed
510,Credit Card,2022-04-08 05:25,540.19,Failed
511,Debit Card,2020-11-07 02:00,690.14,Refunded
512,Net Banking,2021-12-29 09:01,928.59,Failed
513,Debit Card,2023-08-24 17:05,784.34,Refunded
514,Net Banking,2020-10-26 06:58,40.17,Completed
515,UPI,2022-10-13 13:36,577.21,Refunded
516,Credit Card,2020-01-08 20:04,21.01,Refunded
517,Debit Card,2020-10-11 15:42,665.43,Refunded
518,UPI,2022-10-05 07:15,138.21,Completed
519,Net Banking,2020-04-10 03:56,706.42,Completed
