shipping_id,shipping_date,delivery_date,shipping_status
100,2023-08-28 03:07,2023-09-06 14:08,Not Shipped
101,2021-02-05 17:48,2021-02-07 19:56,Returned
102,2021-08-19 22:14,2021-08-25 19:50,Returned
103,2022-06-10 03:19,2022-06-12 07:25,Not Shipped
104,2020-04-19 14:50,2020-04-22 19:16,Not Shipped
105,2021-12-27 02:54,2021-12-29 04:49,Returned
106,2021-08-30 12:46,2021-09-06 07:47,Not Shipped
107,2023-01-13 19:36,2023-01-18 01:51,Returned
108,2021-04-06 01:30,2021-04-09 22:58,Not Shipped
109,2023-05-21 07:53,2023-05-29 21:54,Not Shipped
110,2020-05-08 12:34,2020-05-16 14:23,Not Shipped
111,2023-06-29 21:38,2023-07-03 05:33,Returned
112,2023-01-07 14:46,2023-01-13 23:47,Not Shipped
113,2022-04-10 08:02,2022-04-15 22:02,Shipped
114,2022-09-24 09:57,2022-09-26 06:07,Not Shipped
115,2021-11-02 23:19,2021-11-10 23:31,Shipped
116,2020-08-14 18:46,2020-08-21 21:45,Returned
117,2021-05-09 19:54,2021-05-19 22:35,Returned
118,2021-03-26 15:21,2021-04-02 00:48,Not Shipped
119,2021-10-12 08:24,2021-10-14 22:29,Not Shipped
120,2020-09-16 14:15,2020-09-19 17:44,Returned
121,2021-09-17 03:24,2021-09-25 09:17,Returned
122,2020-05-21 00:55,2020-05-31 04:43,Returned
123,2022-09-15 18:26,2022-09-20 13:37,Returned
124,2022-03-29 04:51,2022-04-01 13:31,Returned
125,2021-12-16 22:17,2021-12-19 16:57,Not Shipped
126,2022-10-16 12:32,2022-10-20 17:11,Not Shipped
127,2023-01-13 23:04,2023-01-15 11:48,Shipped
128,2022-01-11 10:06,2022-01-17 16:00,Shipped
129,2023-02-28 21:05,2023-03-06 08:20,Not Shipped
130,2022-01-29 13:51,2022-02-06 22:43,Not Shipped
131,2020-07-21 20:41,2020-07-29 00:30,Returned
132,2020-12-13 16:30,2020-12-20 23:33,Returned
133,2021-07-11 13:13,2021-07-14 16:29,Shipped
134,2020-03-23 21:37,2020-03-31 02:25,Returned
135,2022-10-25 10:43,2022-10-28 21:01,Returned
136,2021-03-30 02:39,2021-03-31 07:08,Not Shipped
137,2020-11-07 14:22,2020-11-10 08:35,Returned
138,2020-03-17 07:48,2020-03-25 02:05,Shipped
139,2021-12-31 14:39,2022-01-04 09:19,Returned
140,2020-12-22 20:49,2020-12-23 18:58,Not Shipped
141,2020-11-12 15:17,2020-11-19 20:42,Returned
142,2021-07-31 21:09,2021-08-10 07:33,Returned
143,2020-03-26 12:47,2020-04-03 17:53,Shipped
144,2022-11-27 18:21,2022-12-03 07:46,Not Shipped
145,2023-04-20 02:30,2023-04-25 17:42,Returned
146,2020-06-13 05:17,2020-06-16 10:37,Not Shipped
147,2020-03-19 04:25,2020-03-23 04:10,Not Shipped
148,2021-10-06 16:04,2021-10-12 00:19,Returned
149,2023-02-06 14:27,2023-02-10 10:30,Shipped
150,2022-02-11 07:51,2022-02-13 23:51,Shipped
151,2021-05-08 17:57,2021-05-18 01:00,Shipped
152,2022-11-28 04:13,2022-12-02 16:32,Not Shipped
153,2020-11-28 04:22,2020-12-01 14:48,Returned
154,2022-06-20 17:05,2022-06-28 11:34,Not Shipped
155,2022-04-18 20:45,2022-04-23 07:06,Shipped
156,2021-02-18 22:13,2021-02-28 09:14,Not Shipped
157,2023-07-15 00:02,2023-07-17 09:00,Shipped
158,2020-01-13 01:01,2020-01-23 20:18,Not Shipped
159,2023-08-14 10:47,2023-08-17 03:04,Returned
160,2022-07-09 03:42,2022-07-11 13:34,Shipped
161,2020-04-06 07:28,2020-04-10 17:56,Not Shipped
162,2021-07-31 13:59,2021-08-09 04:24,Returned
163,2022-09-15 04:18,2022-09-17 04:52,Returned
164,2023-07-03 11:07,2023-07-13 13:19,Shipped
165,2020-09-06 20:08,2020-09-16 01:21,Shipped
166,2021-06-09 03:50,2021-06-10 20:31,Not Shipped
167,2022-02-23 06:48,2022-02-24 08:58,Returned
168,2021-10-15 17:51,2021-10-16 15:31,Returned
169,2021-09-18 14:59,2021-09-22 07:22,Returned
170,2022-01-13 10:18,2022-01-16 12:42,Shipped
171,2022-05-09 12:06,2022-05-19 23:20,Shipped
172,2021-06-27 15:50,2021-06-29 18:44,Shipped
173,2020-10-03 06:12,2020-10-11 07:13,Shipped
174,2021-09-14 08:52,2021-09-18 19:16,Not Shipped
175,2020-07-31 22:27,2020-08-08 22:59,Returned
176,2023-02-08 00:49,2023-02-12 21:52,Returned
177,2021-01-20 06:48,2021-01-23 01:30,Shipped
178,2020-07-30 09:36,2020-08-01 22:44,Not Shipped
179,2023-07-03 20:28,2023-07-07 18:33,Returned
180,2022-08-23 23:28,2022-09-01 21:16,Not Shipped
181,2020-07-01 17:19,2020-07-04 19:18,Shipped
182,2023-03-17 13:09,2023-03-23 04:32,Shipped
183,2021-10-06 05:50,2021-10-13 01:55,Returned
184,2022-01-17 19:00,2022-01-27 06:10,Shipped
185,2020-11-06 03:05,2020-11-16 17:17,Returned
186,2020-05-25 13:35,2020-05-28 08:42,Returned
187,2021-01-24 02:44,2021-01-31 20:19,Shipped
188,2023-04-25 17:11,2023-04-28 07:33,Not Shipped
189,2022-09-16 17:22,2022-09-22 10:02,Shipped
190,2023-04-11 16:00,2023-04-20 23:31,Not Shipped
191,2022-03-27 11:40,2022-04-01 13:25,Shipped
192,2020-05-28 12:38,2020-06-02 00:25,Shipped
193,2023-05-07 21:01,2023-05-12 03:18,Shipped
194,2022-06-15 16:44,2022-06-20 19:05,Not Shipped
195,2023-03-11 03:44,2023-03-14 05:33,Not Shipped
196,2022-07-26 07:54,2022-08-02 00:53,Not Shipped
197,2020-07-06 20:17,2020-07-14 00:47,Not Shipped
198,2021-09-18 16:43,2021-09-22 11:12,Not Shipped
199,2021-04-06 07:16,2021-04-10 23:21,Returned
200,2023-01-05 08:37,2023-01-06 05:02,Shipped
201,2022-12-31 07:06,2023-01-10 18:31,Shipped
202,2022-07-05 08:05,2022-07-08 06:45,Returned
203,2021-03-04 19:33,2021-03-06 02:44,Not Shipped
204,2020-10-28 15:51,2020-10-31 09:32,Not Shipped
205,2022-02-24 18:08,2022-03-05 08:00,Not Shipped
206,2021-10-06 15:29,2021-10-08 01:32,Shipped
207,2020-01-12 18:54,2020-01-17 03:34,Not Shipped
208,2020-11-21 06:33,2020-11-27 05:47,Shipped
209,2021-05-13 21:04,2021-05-18 04:03,Not Shipped
210,2021-01-27 17:46,2021-01-29 00:33,Returned
211,2020-09-02 08:18,2020-09-09 21:52,Returned
212,2023-04-13 07:48,2023-04-14 01:46,Shipped
213,2020-05-03 05:35,2020-05-11 20:00,Shipped
214,2021-02-06 01:09,2021-02-16 08:46,Not Shipped
215,2022-03-10 18:33,2022-03-20 10:54,Not Shipped
216,2020-03-01 03:50,2020-03-08 21:58,Shipped
217,2023-07-21 13:49,2023-07-30 11:40,Shipped
218,2020-11-10 00:14,2020-11-19 03:04,Returned
219,2020-02-11 10:19,2020-02-12 05:47,Returned
220,2022-09-12 11:34,2022-09-19 22:54,Shipped
221,2021-11-11 21:53,2021-11-21 17:27,Returned
222,2022-04-14 15:57,2022-04-17 02:34,Not Shipped
223,2021-07-27 23:25,2021-08-06 14:09,Not Shipped
224,2022-02-28 17:02,2022-03-02 19:00,Not Shipped
225,2021-08-03 09:07,2021-08-06 00:09,Not Shipped
226,2020-05-11 09:25,2020-05-21 03:24,Returned
227,2023-08-24 17:01,2023-09-02 21:51,Shipped
228,2022-10-07 16:23,2022-10-13 12:54,Not Shipped
229,2023-01-10 08:40,2023-01-14 13:10,Returned
230,2021-02-24 21:04,2021-02-28 19:20,Not Shipped
231,2020-06-23 12:55,2020-07-03 09:42,Shipped
232,2021-05-25 12:55,2021-05-29 15:58,Returned
233,2023-01-13 07:28,2023-01-16 01:06,Not Shipped
234,2021-09-04 10:14,2021-09-11 00:13,Returned
235,2020-02-27 02:56,2020-03-08 00:09,Shipped
236,2021-01-28 09:29,2021-02-05 19:08,Shipped
237,2020-10-02 17:43,2020-10-11 19:27,Returned
238,2020-05-01 07:59,2020-05-03 07:14,Shipped
239,2021-12-18 09:39,2021-12-19 17:50,Not Shipped
240,2022-10-18 19:12,2022-10-24 11:27,Not Shipped
241,2020-12-08 17:51,2020-12-09 01:08,Shipped
242,2022-12-15 23:37,2022-12-22 05:45,Not Shipped
243,2021-05-03 23:21,2021-05-06 05:33,Returned
244,2021-09-16 02:34,2021-09-21 10:58,Shipped
245,2022-04-02 16:45,2022-04-08 21:04,Returned
246,2021-08-01 09:13,2021-08-11 16:53,Shipped
247,2022-12-22 18:11,2022-12-29 06:56,Not Shipped
248,2020-03-09 05:00,2020-03-16 21:31,Returned
249,2020-12-06 05:28,2020-12-09 15:03,Returned
250,2020-11-25 09:43,2020-11-26 15:06,Not Shipped
251,2021-05-19 23:57,2021-05-28 12:13,Returned
252,2020-06-05 10:46,2020-06-10 06:54,Returned
253,2020-11-05 12:19,2020-11-07 10:28,Returned
254,2022-01-14 14:30,2022-01-20 10:52,Not Shipped
255,2022-05-03 18:58,2022-05-08 06:05,Not Shipped
256,2022-01-13 19:02,2022-01-21 19:26,Returned
257,2022-07-27 01:33,2022-07-30 02:41,Not Shipped
258,2020-01-08 17:29,2020-01-17 06:47,Returned
259,2022-02-04 00:37,2022-02-05 16:27,Returned
260,2022-11-21 11:31,2022-11-22 20:15,Returned
261,2021-12-29 22:02,2022-01-07 08:27,Returned
262,2022-01-05 07:39,2022-01-10 07:59,Shipped
263,2022-10-24 21:28,2022-10-30 01:13,Returned
264,2021-03-12 04:12,2021-03-14 22:47,Not Shipped
265,2023-01-08 10:56,2023-01-18 08:40,Shipped
266,2022-12-02 02:00,2022-12-06 11:33,Returned
267,2020-09-28 19:14,2020-10-01 10:34,Returned
268,2020-11-30 09:06,2020-12-09 13:50,Shipped
269,2023-04-30 12:15,2023-05-08 17:10,Shipped
270,2023-01-04 20:16,2023-01-11 06:42,Not Shipped
271,2022-03-24 19:05,2022-03-26 12:09,Not Shipped
272,2020-03-03 02:53,2020-03-05 04:40,Returned
273,2022-08-17 01:02,2022-08-27 06:46,Not Shipped
274,2021-12-05 07:30,2021-12-06 20:58,Not Shipped
275,2023-08-18 04:26,2023-08-27 15:18,Shipped
276,2021-06-14 19:31,2021-06-24 16:12,Not Shipped
277,2020-07-01 16:44,2020-07-07 14:39,Returned
278,2023-06-13 08:33,2023-06-19 17:27,Returned
279,2020-05-11 16:57,2020-05-21 01:15,Not Shipped
280,2022-08-21 16:05,2022-08-24 12:20,Returned
281,2022-09-14 07:42,2022-09-23 08:09,Shipped
282,2021-06-30 15:41,2021-07-01 14:15,Shipped
283,2022-02-08 16:37,2022-02-15 07:50,Not Shipped
284,2022-09-29 07:29,2022-10-06 16:21,Returned
285,2021-07-23 18:59,2021-07-27 02:15,Not Shipped
286,2022-11-01 07:10,2022-11-07 21:45,Shipped
287,2022-11-05 23:39,2022-11-06 21:38,Shipped
288,2021-02-15 18:55,2021-02-19 08:00,Returned
289,2021-03-12 04:49,2021-03-15 23:49,Not Shipped
290,2021-11-22 10:16,2021-12-01 18:18,Returned
291,2021-01-17 03:15,2021-01-25 21:29,Returned
292,2022-11-02 18:58,2022-11-11 18:26,Shipped
293,2021-12-19 00:08,2021-12-20 08:34,Returned
294,2022-12-27 07:25,2023-01-05 05:10,Shipped
295,2020-04-13 19:10,2020-04-14 02:58,Shipped
296,2023-05-13 17:38,2023-05-23 20:47,Returned
297,2020-04-18 12:39,2020-04-26 08:11,Not Shipped
298,2022-05-02 06:05,2022-05-08 18:07,Shipped
299,2020-10-11 20:54,2020-10-20 14:10,Not Shipped
300,2023-08-05 20:08,2023-08-13 12:42,Shipped
301,2020-10-25 03:29,2020-11-02 12:32,Not Shipped
302,2022-02-01 23:49,2022-02-10 01:11,Shipped
303,2022-06-24 01:10,2022-06-29 17:36,Shipped
304,2022-11-24 18:58,2022-11-25 22:27,Shipped
305,2021-11-26 01:17,2021-12-05 04:57,Not Shipped
306,2022-06-09 10:18,2022-06-19 10:31,Not Shipped
307,2021-11-11 17:53,2021-11-12 21:20,Not Shipped
308,2020-01-08 03:02,2020-01-18 04:58,Returned
309,2023-07-07 18:36,2023-07-11 23:20,Not Shipped
310,2020-06-18 00:04,2020-06-21 13:21,Returned
311,2021-05-03 05:56,2021-05-11 18:15,Not Shipped
312,2020-03-19 09:39,2020-03-20 15:03,Not Shipped
313,2020-11-03 09:16,2020-11-11 17:24,Returned
314,2022-05-28 10:07,2022-06-01 22:48,Returned
315,2023-07-25 16:14,2023-08-04 19:29,Returned
316,2021-12-01 11:08,2021-12-10 04:04,Returned
317,2021-08-06 01:42,2021-08-11 16:38,Returned
318,2020-07-05 15:46,2020-07-10 04:32,Shipped
319,2022-08-05 03:35,2022-08-08 02:08,Shipped
320,2023-05-06 06:31,2023-05-15 04:58,Not Shipped
321,2023-04-06 21:37,2023-04-11 13:40,Not Shipped
322,2020-08-11 02:39,2020-08-21 12:45,Shipped
323,2020-10-01 20:27,2020-10-10 17:20,Shipped
324,2020-10-18 15:59,2020-10-27 15:03,Returned
325,2021-11-14 09:36,2021-11-15 20:54,Returned
326,2022-09-10 14:26,2022-09-15 11:09,Shipped
327,2023-05-04 15:12,2023-05-09 20:49,Not Shipped
328,2022-04-25 16:21,2022-04-26 09:01,Shipped
329,2022-07-07 19:01,2022-07-16 18:47,Not Shipped
330,2022-08-06 08:21,2022-08-07 22:27,Returned
331,2023-06-20 23:59,2023-06-24 08:37,Shipped
332,2022-02-28 14:48,2022-03-09 09:04,Not Shipped
333,2022-05-01 23:47,2022-05-09 20:42,Shipped
334,2020-12-23 04:31,2020-12-26 10:40,Not Shipped
335,2022-07-25 06:50,2022-07-29 00:20,Not Shipped
336,2020-10-11 20:06,2020-10-14 12:47,Not Shipped
337,2021-03-04 04:09,2021-03-05 16:07,Shipped
338,2022-02-02 07:28,2022-02-03 16:31,Not Shipped
339,2023-08-07 01:44,2023-08-13 03:09,Not Shipped
340,2022-09-02 06:22,2022-09-03 02:12,Returned
341,2022-05-16 10:03,2022-05-23 11:20,Returned
342,2022-08-24 05:30,2022-09-03 01:48,Not Shipped
343,2020-12-18 04:31,2020-12-28 04:42,Shipped
344,2020-03-24 03:28,2020-04-01 23:33,Shipped
345,2020-06-24 04:31,2020-06-27 18:31,Not Shipped
346,2020-06-12 10:51,2020-06-19 16:00,Not Shipped
347,2021-09-21 03:38,2021-10-01 20:43,Shipped
348,2020-09-11 22:59,2020-09-20 10:09,Returned
349,2023-04-15 06:57,2023-04-18 20:15,Returned
350,2021-11-19 23:50,2021-11-20 14:19,Returned
351,2021-04-16 20:58,2021-04-26 02:08,Returned
352,2020-05-14 17:03,2020-05-20 23:11,Not Shipped
353,2023-01-24 21:48,2023-01-28 11:11,Not Shipped
354,2021-02-25 04:14,2021-03-02 09:57,Not Shipped
355,2020-07-24 09:30,2020-07-26 16:53,Not Shipped
356,2021-10-07 13:11,2021-10-09 11:38,Returned
357,2023-04-23 11:20,2023-04-29 14:32,Not Shipped
358,2023-05-27 09:23,2023-05-30 06:51,Not Shipped
359,2021-06-16 10:10,2021-06-23 22:45,Returned
360,2020-07-18 14:45,2020-07-25 14:28,Shipped
361,2020-01-10 05:08,2020-01-13 08:48,Not Shipped
362,2022-11-28 02:19,2022-12-07 19:01,Shipped
363,2021-03-17 17:04,2021-03-25 10:39,Returned
364,2021-12-18 00:38,2021-12-26 12:06,Not Shipped
365,2021-07-02 18:55,2021-07-03 16:55,Returned
366,2023-05-24 22:22,2023-05-27 10:34,Not Shipped
367,2022-10-11 22:57,2022-10-13 05:04,Shipped
368,2020-10-20 06:57,2020-10-24 20:10,Returned
369,2020-07-17 21:05,2020-07-25 00:29,Returned
370,2021-11-24 01:35,2021-12-04 17:32,Returned
371,2022-10-03 00:14,2022-10-06 22:18,Not Shipped
372,2021-08-12 23:15,2021-08-22 23:06,Not Shipped
373,2022-07-23 05:11,2022-07-30 14:39,Returned
374,2021-01-24 23:10,2021-01-26 08:26,Returned
375,2021-02-18 22:25,2021-02-20 05:11,Returned
376,2023-01-15 02:39,2023-01-21 17:45,Shipped
377,2021-12-18 20:21,2021-12-25 01:29,Shipped
378,2021-09-29 11:56,2021-10-09 14:30,Shipped
379,2020-06-23 04:56,2020-07-01 07:16,Not Shipped
380,2021-12-10 08:32,2021-12-15 18:55,Returned
381,2023-08-20 22:54,2023-08-30 06:53,Shipped
382,2020-05-20 17:07,2020-05-28 06:07,Not Shipped
383,2022-06-19 00:29,2022-06-25 19:58,Returned
384,2020-10-12 08:33,2020-10-16 01:50,Shipped
385,2022-05-24 08:02,2022-05-30 21:25,Not Shipped
386,2022-05-08 08:10,2022-05-13 23:40,Not Shipped
387,2020-04-03 12:55,2020-04-06 22:58,Not Shipped
388,2020-02-26 01:41,2020-02-28 14:58,Shipped
389,2023-01-26 05:24,2023-01-27 08:25,Shipped
390,2022-08-31 11:47,2022-09-05 07:04,Not Shipped
391,2022-04-22 21:01,2022-05-02 13:57,Returned
392,2021-08-12 08:38,2021-08-19 17:32,Shipped
393,2020-05-03 04:15,2020-05-09 09:13,Not Shipped
394,2023-08-20 01:33,2023-08-27 06:37,Returned
395,2021-11-20 19:04,2021-11-25 13:35,Not Shipped
396,2021-10-28 00:43,2021-11-01 11:54,Shipped
397,2021-10-02 05:39,2021-10-06 07:39,Not Shipped
398,2022-12-16 02:35,2022-12-23 09:34,Shipped
399,2022-09-09 19:41,2022-09-17 19:38,Not Shipped
400,2022-02-06 01:52,2022-02-10 02:23,Shipped
401,2023-05-02 08:21,2023-05-05 07:47,Shipped
402,2023-03-02 19:24,2023-03-04 17:04,Returned
403,2021-09-15 04:18,2021-09-22 09:28,Returned
404,2022-05-21 12:28,2022-05-30 16:46,Returned
405,2020-06-07 03:23,2020-06-10 10:10,Returned
406,2022-09-22 10:23,2022-09-26 00:25,Not Shipped
407,2020-02-02 04:19,2020-02-11 15:31,Not Shipped
408,2022-05-31 10:47,2022-06-10 09:17,Shipped
409,2021-06-09 21:43,2021-06-13 16:46,Returned
410,2022-12-17 17:52,2022-12-21 15:25,Not Shipped
411,2021-05-30 07:53,2021-05-31 05:45,Not Shipped
412,2020-11-16 23:05,2020-11-22 16:01,Shipped
413,2021-11-02 18:12,2021-11-05 22:03,Not Shipped
414,2021-07-09 16:24,2021-07-10 04:16,Returned
415,2020-04-29 23:58,2020-05-03 22:49,Shipped
416,2022-01-06 15:57,2022-01-10 06:09,Not Shipped
417,2021-06-29 07:50,2021-07-04 19:13,Shipped
418,2022-06-17 08:04,2022-06-24 17:28,Not Shipped
419,2022-12-27 11:53,2022-12-31 23:12,Shipped
420,2021-10-19 18:28,2021-10-21 15:45,Not Shipped
421,2022-03-23 13:43,2022-03-24 04:32,Not Shipped
422,2022-09-08 14:06,2022-09-12 05:26,Returned
423,2022-05-26 04:37,2022-06-02 21:28,Shipped
424,2021-01-27 23:56,2021-02-04 21:56,Shipped
425,2022-12-28 21:29,2023-01-04 05:57,Not Shipped
426,2023-01-20 22:37,2023-01-27 21:38,Shipped
427,2020-08-04 11:17,2020-08-14 08:03,Not Shipped
428,2022-07-23 03:20,2022-07-25 17:07,Not Shipped
429,2021-01-30 19:17,2021-02-02 18:24,Not Shipped
430,2023-05-27 21:19,2023-05-30 00:10,Shipped
431,2021-01-14 02:55,2021-01-21 05:09,Shipped
432,2022-08-27 00:01,2022-08-30 20:44,Returned
433,2022-09-10 19:24,2022-09-17 05:06,Not Shipped
434,2020-10-30 04:06,2020-11-03 10:17,Returned
435,2021-03-15 13:09,2021-03-18 10:27,Not Shipped
436,2023-07-24 06:22,2023-07-25 15:47,Shipped
437,2021-11-21 18:37,2021-11-28 14:06,Not Shipped
438,2020-08-27 05:38,2020-09-05 00:46,Returned
439,2020-05-26 08:16,2020-06-05 13:34,Shipped
440,2021-10-22 23:41,2021-10-30 05:17,Shipped
441,2021-07-31 04:29,2021-08-05 13:57,Returned
442,2022-02-27 19:51,2022-03-09 09:26,Returned
443,2020-07-25 16:16,2020-08-04 01:16,Shipped
444,2020-07-30 12:19,2020-08-06 13:02,Returned
445,2020-12-22 04:58,2020-12-24 10:31,Shipped
446,2023-06-05 07:35,2023-06-14 14:32,Not Shipped
447,2020-05-02 17:29,2020-05-12 08:55,Returned
448,2021-08-16 20:19,2021-08-22 16:37,Shipped
449,2020-01-09 03:54,2020-01-14 22:33,Not Shipped
450,2022-04-03 10:37,2022-04-12 10:17,Not Shipped
451,2023-08-09 12:46,2023-08-10 05:59,Not Shipped
452,2023-03-20 01:34,2023-03-24 11:28,Returned
453,2020-07-22 17:19,2020-07-29 01:31,Returned
454,2020-11-29 03:58,2020-12-02 19:02,Returned
455,2023-08-03 00:15,2023-08-04 09:28,Shipped
456,2020-12-29 17:26,2021-01-05 12:15,Not Shipped
457,2022-06-05 18:29,2022-06-12 12:15,Not Shipped
458,2021-12-19 00:54,2021-12-23 03:23,Shipped
459,2021-03-28 10:27,2021-03-31 21:43,Not Shipped
460,2021-11-26 19:40,2021-11-27 00:23,Returned
461,2022-03-08 11:56,2022-03-13 08:32,Not Shipped
462,2020-02-18 07:26,2020-02-19 23:46,Shipped
463,2022-01-27 04:08,2022-02-02 15:58,Returned
464,2022-03-26 00:21,2022-04-02 09:19,Not Shipped
465,2022-08-29 18:34,2022-09-01 07:14,Not Shipped
466,2023-03-09 22:23,2023-03-18 18:02,Returned
467,2022-03-04 23:49,2022-03-10 02:17,Not Shipped
468,2021-04-12 01:17,2021-04-13 06:49,Returned
469,2022-11-20 11:29,2022-11-24 10:03,Not Shipped
470,2022-05-10 18:40,2022-05-15 05:07,Shipped
471,2020-07-09 04:25,2020-07-16 06:19,Returned
472,2020-02-03 02:45,2020-02-11 20:35,Returned
473,2022-03-09 18:57,2022-03-15 02:48,Not Shipped
474,2022-09-11 22:51,2022-09-15 03:05,Not Shipped
475,2021-12-19 21:16,2021-12-27 16:58,Returned
