product_id,name,cogs,category_id,seller_id
105,Business,306.24,22,260
106,Top,830.01,35,251
107,Easy,711.65,20,244
108,Wish,817.59,24,170
109,Improve,677.07,27,299
110,Option,314.6,47,447
111,She,691.16,2,306
112,Get,479.84,42,401
113,Cost,972.34,38,296
114,Offer,235.27,4,299
115,Reality,485.64,34,323
116,Deep,723.97,50,431
117,Address,386.39,44,125
118,Reveal,41.25,45,57
119,Laugh,198.88,29,161
120,Base,424.59,27,354
121,Get,211.85,33,397
122,Radio,615.36,31,447
123,Else,849.89,47,32
124,Your,708.72,34,107
125,Media,565.28,43,245
126,Against,530.22,21,490
127,Bit,181.45,35,176
128,Carry,550.81,44,396
129,Word,868.98,44,330
130,So,805.62,17,313
131,Side,489.34,16,143
132,Evening,562.51,15,483
133,Condition,973.18,20,395
134,Really,296.11,14,354
135,Final,707.94,21,246
136,Remain,355.32,47,141
137,Even,294.91,37,347
138,Just,547.76,26,420
139,Color,351.68,50,412
140,Western,155.01,3,148
141,Last,955.76,6,178
142,Democrat,924.77,42,132
143,Shoulder,749.87,14,104
144,Common,829.67,18,478
145,High,566.4,18,71
146,Bill,118.13,48,301
147,Southern,246.89,4,343
148,Work,906.13,15,327
149,Fight,240.51,7,212
150,For,336.99,31,52
151,Occur,684.38,9,3
152,Role,964.87,11,209
153,Official,656.36,31,245
154,Purpose,654.03,49,494
155,Authority,294.37,19,331
156,Ball,68.57,50,46
157,Clearly,655.78,15,274
158,Tv,741.3,3,468
159,Campaign,922.26,27,452
160,Tonight,839.23,3,429
161,Write,403.02,32,96
162,About,937.24,19,449
163,Education,47.09,20,291
164,Attorney,606.76,22,146
165,Start,459.81,42,279
166,Speech,529.08,9,436
167,Study,509.17,18,99
168,Son,810.73,22,84
169,You,733.81,42,132
170,Expect,721.41,1,378
171,Country,343.74,19,291
172,Build,677.66,13,90
173,Southern,614.84,41,460
174,Live,411.44,28,264
175,Green,334.65,26,343
176,Campaign,104.43,9,245
177,Month,330.37,16,4
178,Space,268.18,16,229
179,Thing,756.22,22,155
180,State,586.64,37,6
181,Nor,268.94,24,355
182,Make,243.94,43,61
183,Much,470.74,11,208
184,Can,689.21,46,395
185,Medical,317.87,8,328
186,Relate,916.97,19,189
187,Possible,618.48,15,491
188,Fall,142.23,10,233
189,Stock,750.26,39,192
190,Because,421.69,36,468
191,Heart,476.12,35,411
192,Story,667.45,14,391
193,Best,254.99,49,306
194,Head,874.4,6,270
195,Control,452.28,46,186
196,Important,87.32,37,58
197,Sure,71.14,36,463
198,Current,510.43,37,275
199,Offer,158.35,21,438
200,You,525.14,8,349
201,Enough,213.35,38,251
202,Share,100.03,33,229
203,Affect,810.61,30,68
204,Whether,518.12,30,289
205,White,67.16,30,345
206,Pressure,808.85,47,12
207,Summer,401.99,1,382
208,Student,225.72,5,24
209,Space,429.46,45,33
210,Before,545.75,4,479
211,At,895.28,31,17
212,Commercial,294.22,12,394
213,Child,144.07,42,374
214,Guess,649.42,27,192
215,College,992.93,25,230
216,Nearly,870.92,25,193
217,Teacher,89.45,43,448
218,Road,543.91,42,441
219,Nor,354.29,12,276
220,Daughter,399.13,9,373
221,Measure,978.94,1,388
222,Window,32.51,20,238
223,Sometimes,676.76,35,218
224,Program,536.61,15,127
225,Have,466.02,10,142
226,All,196.6,47,392
227,Grow,121.72,43,215
228,Tonight,618.77,2,124
229,Improve,214.02,7,305
230,Structure,43.24,39,345
231,Something,706.25,4,126
232,Lay,743.14,26,225
233,Body,242,14,387
234,Surface,865.09,4,72
235,Music,508.86,19,120
236,Stand,817.63,47,295
237,Task,325.71,39,396
238,Interesting,675.81,21,122
239,Difference,308.75,10,339
240,Computer,526.04,27,154
241,Customer,282.4,36,486
242,Pressure,595.75,48,467
243,Public,183.38,44,219
244,Member,560.29,4,498
245,Staff,350.97,42,344
246,Peace,387.34,34,164
247,Small,699.35,27,77
248,Save,306.89,12,387
249,Audience,542.55,16,435
250,Size,233.09,46,74
251,Dream,807.72,4,288
252,They,418.55,27,286
253,Realize,534.69,25,125
254,World,262.45,22,332
255,While,88.28,29,434
256,Statement,377.37,35,371
257,Miss,831.11,4,138
258,Onto,383.4,39,309
259,Spend,49.15,5,97
260,Lot,806.6,38,371
261,Impact,674.74,14,246
262,Fund,216.8,22,156
263,Quality,957.45,1,109
264,Home,937.79,48,61
265,Decide,749.41,49,246
266,We,915.3,45,310
267,Analysis,706.73,26,469
268,Although,246.94,21,398
269,Local,290.23,30,274
270,Cup,652.23,20,134
271,About,366.05,32,239
272,Own,107.62,47,241
273,Hear,764.01,21,469
274,Adult,211.1,21,212
275,Red,55.26,15,380
276,World,154.46,17,284
277,Hotel,935.41,38,369
278,Range,423.4,10,101
279,Ground,336.57,25,292
280,Just,835.03,32,282
281,So,658.06,44,173
282,Third,264.75,32,495
283,Account,726.32,48,252
284,Forward,466.22,47,408
285,Training,358.65,9,369
286,Major,551.08,12,470
287,Bed,890.47,42,491
288,Center,68.14,3,430
289,Threat,848.23,43,25
290,Big,766.7,27,71
291,Phone,844.12,15,35
292,Near,710.1,1,112
293,Option,510.68,24,31
294,Space,621.66,43,479
295,But,620.35,31,338
296,Personal,492.98,1,273
297,Century,556.13,1,9
298,Material,534.12,18,275
299,Miss,977.7,2,258
300,On,815.03,44,221
301,Ok,808.11,12,55
302,She,918.87,34,77
303,Sort,248.56,40,270
304,Grow,259.89,23,137
305,Call,796.99,6,192
306,Probably,959.7,30,290
307,Talk,250.78,45,116
308,Alone,306.97,6,335
309,Stop,991.76,42,389
310,Thing,41.37,26,195
311,Pull,383.4,31,29
312,Free,640.38,45,88
313,Else,91.86,28,331
314,Forget,786.53,37,440
315,Not,974.1,34,471
316,Term,52.13,14,462
317,Large,869.44,37,244
318,Finally,278.38,5,351
319,American,926.33,35,289
320,Town,661.53,12,476
321,Both,851.92,2,493
322,Around,215.09,10,386
323,Wrong,822.48,26,476
324,First,86.17,11,289
325,Red,248.07,25,347
326,Certain,897.56,22,197
327,Safe,758.05,9,405
328,Evening,988.59,47,41
329,Team,505.78,23,28
330,Hundred,106.71,15,430
331,Claim,85.26,39,394
332,Fast,617.73,39,204
333,Grow,969.23,21,16
334,To,637.78,29,252
335,Its,235.86,36,482
336,Bad,381.67,12,349
337,Nice,590.02,25,44
338,Himself,774.45,19,409
339,Bad,253.99,5,43
340,Moment,275.29,25,365
341,Foot,786.05,10,379
342,Single,395.73,24,55
343,First,100.61,20,228
344,Investment,366.32,18,53
345,Agency,141.18,12,221
346,Agree,454.36,36,263
347,Feel,413.96,2,46
348,Generation,360.38,6,306
349,Crime,602.06,21,443
350,Seek,391.39,19,212
351,Better,393.92,6,372
352,TRUE,902.12,16,293
353,Certain,525.89,44,195
354,Word,177.81,18,155
355,Network,275.72,10,33
356,Player,175.54,18,216
357,Place,306.75,5,185
358,Together,259.18,16,370
359,Black,628.78,39,316
360,Him,203.59,7,70
361,Build,311.61,26,171
362,Beyond,843.2,25,412
363,Everything,863.58,29,172
364,Special,436.31,42,499
365,Goal,598.45,20,165
366,Friend,607.18,45,103
367,View,484.22,12,494
368,Candidate,404.26,21,150
369,Cover,737.53,41,252
370,Part,968.09,16,167
371,Difference,382.29,26,187
372,Pass,122.75,37,103
373,Such,596.3,35,93
374,Bar,684.9,36,14
375,Each,953.47,30,483
376,Appear,711.28,29,409
377,Factor,298.42,45,36
378,Foreign,820.78,27,345
379,Thought,504.31,41,156
380,Soon,249.6,43,79
381,Oil,718.08,25,38
382,Somebody,454.58,39,246
383,Number,586.42,35,260
384,While,924.26,45,215
385,Town,548.21,24,360
386,Base,896.55,35,305
387,Task,641.8,6,56
388,Seem,771.26,43,341
389,Often,361.46,42,314
390,Worry,53.85,42,347
391,Participant,650.28,49,170
392,Truth,966.06,28,55
393,Rock,20.44,17,114
394,Office,515.57,34,286
395,Finish,584.71,37,114
396,What,451.32,26,238
397,Old,774.62,38,354
398,Really,505.46,23,13
399,Finish,487.94,19,213
400,Black,921.34,6,60
401,Want,833,47,73
402,International,354.85,22,234
403,Soldier,786.43,34,248
404,Word,354.82,7,225
405,Amount,724.77,29,164
406,Forget,76.5,3,415
407,Why,713.67,2,435
408,Unit,349.65,7,347
409,Kitchen,802.05,48,125
410,Better,520.83,36,82
411,Really,337.68,28,491
412,Goal,467.43,26,323
413,Exist,192.61,41,337
414,Sit,437.81,2,378
415,Area,617.97,13,231
416,Certain,596.28,25,3
417,Authority,707.69,14,143
418,Between,754.8,5,296
419,You,110.73,35,96
420,Per,372.14,13,235
421,Above,122.82,43,442
422,Both,494.59,41,161
423,Vote,601,40,201
424,Me,591.13,23,181
425,And,847.06,40,89
426,Manager,815.6,46,410
427,Table,304.47,40,303
428,Herself,93.9,9,161
429,Into,126.68,20,60
430,Number,191.21,45,73
431,Both,515.72,27,306
432,Everything,146.49,25,217
433,Cold,193.9,41,276
434,Perhaps,696.5,42,477
435,Yard,999.9,36,86
436,Option,494.75,9,96
437,Want,321.43,29,318
438,Study,63.08,23,488
439,End,19.49,9,100
440,Beat,817.06,36,259
441,Good,656.54,27,351
442,Concern,496.81,46,431
443,Crime,449.41,11,43
444,Range,569.74,49,113
445,Why,299.17,18,116
446,Outside,542.23,11,400
447,School,462.75,48,396
448,Trial,768.26,36,262
449,Body,122.08,8,138
450,Professor,777.36,24,278
451,Task,824.38,3,390
452,Adult,721.79,35,112
453,Many,989.88,7,377
454,Discover,831.77,49,127
455,Shoulder,304.73,3,231
456,Section,270.19,6,225
457,Card,866.64,8,398
458,Condition,813.77,14,416
459,Sing,740.24,45,180
460,Term,862.44,40,324
461,Treat,433.89,40,72
462,Rest,787,14,413
463,Mr,68.76,23,273
464,Edge,288.27,35,87
465,Involve,330.42,46,150
466,Accept,296.44,18,488
467,Responsibility,859.44,44,418
468,Necessary,104.27,49,403
469,Type,417.48,4,142
470,Explain,868.38,9,360
471,Part,867.42,16,75
472,Study,714.28,16,390
473,Show,845.12,26,251
474,Stand,150.75,41,138
475,Thousand,631.53,25,232
476,Cup,84.76,50,48
477,Mind,408.82,48,143
478,Officer,697.76,24,233
479,Economy,950.75,21,298
480,Artist,12.45,50,434
481,Law,735.4,47,498
482,Development,463.86,43,358
483,Position,364.64,5,408
484,Reflect,539.08,14,496
485,Important,435.35,14,254
486,Data,275.85,19,173
487,Thank,551.84,9,290
488,News,853.9,22,458
489,Final,685.73,4,24
490,Guy,108.58,30,9
491,Century,132.99,11,226
492,Interview,461.95,28,104
493,Performance,995.74,9,452
494,Its,653.5,11,448
495,Whether,933.4,18,48
496,Particular,658.04,17,43
497,Field,378.13,42,85
498,Exist,61.27,41,157
499,Enjoy,728.73,49,120
500,Practice,434.94,6,361
501,Total,104.23,14,245
502,Visit,87.16,38,116
503,Capital,524.25,29,5
504,Seat,17.98,22,419
505,Kitchen,129.39,28,356
506,Especially,140.85,5,118
507,Raise,389.24,47,413
508,Point,111.4,21,189
509,Modern,882.18,9,196
510,Ability,775.73,49,448
511,Building,141.81,44,74
512,Into,77.73,37,5
513,Performance,614.22,11,226
514,Cut,357.68,14,322
515,Skin,750.79,27,316
516,Environment,689.7,14,45
517,Rock,897.63,9,386
518,Career,131.93,47,197
519,Part,358.02,28,162
520,Create,793.17,16,142
521,Teach,648.17,16,284
522,Put,604.99,47,312
523,Partner,292.07,45,14
524,Call,849.41,43,449
525,Remain,308.63,34,311
526,Energy,514.43,48,201
527,Cause,302.59,4,402
528,Seek,898.93,16,254
529,Amount,392.03,16,256
530,During,641.7,5,271
531,Enjoy,889.84,1,185
532,Size,934.59,9,199
533,Any,862.21,37,216
534,Side,371.76,44,89
535,Away,765.1,50,38
536,Return,26.52,5,8
537,Indicate,269.56,3,473
538,Cell,69.86,26,260
539,Discover,293.62,46,257
540,Factor,769.44,28,360
541,Budget,408.25,41,275
542,Paper,542.28,10,143
543,Able,92.76,6,262
544,Reach,921.72,10,275
545,Develop,333.48,38,325
546,Series,765.59,42,349
547,Bring,646.72,20,358
548,Themselves,443.11,16,30
549,Safe,252.03,28,60
550,Address,458.84,39,29
551,Job,316.2,48,337
552,Both,743.25,8,7
553,Growth,710.82,45,6
554,Design,172.19,23,268
555,Likely,522.05,47,133
556,Charge,175.29,9,384
557,Choice,783.31,18,376
558,Shake,887.55,50,461
559,Raise,39.06,28,140
560,Stock,528.62,17,365
561,Candidate,975.3,41,40
562,Trouble,501.19,33,185
563,Home,64.88,37,86
564,Garden,374.01,17,396
565,Item,111.88,37,346
566,Human,725.55,15,380
567,Receive,513.74,3,440
568,Natural,864.3,16,24
569,Response,477.05,25,472
570,Face,158.58,3,284
571,Life,805.08,46,380
572,Record,659.15,15,165
573,Defense,255.78,47,164
574,Toward,278.55,5,293
575,Prove,379.08,33,345
576,Child,902.92,12,115
577,Design,806.29,3,489
578,Improve,406.92,30,444
579,Head,289.48,20,168
580,Cup,95.52,30,5
581,TRUE,375.23,19,289
582,Reduce,786.66,48,319
583,Toward,250.16,24,303
584,Your,972.14,50,398
585,Recognize,203.47,35,390
586,Eight,798.01,10,4
587,Might,933.07,2,120
588,Middle,546.13,41,430
589,Eye,696.53,1,487
590,Leave,341.67,49,337
591,Appear,382.51,48,373
592,Entire,314.44,14,272
593,About,983.28,27,252
594,Lead,961.57,10,365
595,Major,287.03,3,472
596,Cold,239.16,34,212
597,Ask,703.84,24,235
598,Station,974.81,6,298
599,Visit,104.62,9,327
600,These,821.76,5,304
601,As,572.14,28,340
602,Smile,964.58,16,150
603,Low,268.38,21,475
604,Need,802.81,45,426
605,Figure,738,21,232
606,Democrat,279.24,5,484
607,Job,210.69,50,395
608,Bring,588.86,10,55
609,Upon,172.73,30,161
610,Field,412.45,35,184
611,Chance,964.99,14,232
612,Federal,315.22,17,437
613,Far,128.71,11,414
614,Cost,689.19,46,357
615,Last,607.27,14,428
616,Specific,858.01,10,47
617,Address,714.05,23,203
618,Material,518.33,44,154
619,Stock,267.57,12,16
620,Sound,952.58,29,285
621,Next,750.6,16,49
622,Attention,467.42,9,63
623,Peace,21.84,50,114
624,Look,139.41,26,191
625,Happen,689.42,42,44
626,Floor,586.5,17,470
627,Quickly,814.62,2,34
628,Door,205.77,42,228
629,Listen,811.21,6,464
630,Deep,848.8,22,63
631,Rise,52.27,30,26
632,Treat,176.31,37,222
633,Fact,823.47,26,255
634,Those,39.19,44,219
635,Me,181.08,14,466
636,In,195.28,18,229
637,Expect,884.59,3,315
638,College,622.98,16,332
639,Media,302.15,27,452
640,Discussion,555.18,4,45
641,Left,286.98,9,215
642,West,207.46,34,128
643,Cell,634.45,35,407
644,Adult,29.33,25,401
645,Statement,716.24,31,279
646,Easy,783.62,23,468
647,Quite,569.99,21,199
648,Mention,277.73,2,164
649,If,601.15,2,459
650,Discuss,812.58,18,30
651,Ok,810.57,31,272
652,Mr,363.86,38,120
653,Quality,974.24,7,127
654,World,660.3,18,274
655,Check,818.12,48,29
656,Break,766.41,15,295
657,Executive,848.04,25,182
658,Set,935.85,12,91
659,Hospital,244.19,21,413
660,Nearly,740.72,23,468
661,Environmental,595.65,46,359
662,Road,358.17,37,289
663,Bit,150.68,13,429
664,Expert,988.13,32,278
665,Training,315.96,32,20
666,Reason,99.35,15,309
667,Name,226.62,34,245
668,Successful,10.68,40,104
669,Force,808.38,22,368
670,Skin,185.69,21,31
671,International,31.69,38,361
672,Again,918.05,50,57
673,At,848.02,24,492
674,Our,81.81,46,483
675,Value,665.52,38,52
676,Both,343.2,21,70
677,Effort,976.1,47,486
678,Way,442.5,41,492
679,Fear,492.33,21,90
680,Entire,710.11,36,356
681,Take,890.7,40,403
682,Election,363.26,43,302
683,Sometimes,816.31,25,158
684,Relate,736.66,19,66
685,Word,185.93,1,486
686,Only,704.99,37,201
687,Total,852.25,50,495
688,Positive,571.81,12,309
689,Paper,325.03,40,114
690,Successful,643.25,7,480
691,Window,501.22,22,382
692,Next,87.03,23,164
693,Will,176.21,6,421
694,Cover,711.88,41,374
695,Product,887.79,29,6
696,Model,272.56,16,355
697,Newspaper,77.12,17,403
698,About,116.95,1,25
699,Church,392.08,47,215
700,Again,969.41,27,253
701,Generation,882.95,23,280
702,Special,381.59,31,404
703,Road,865.41,42,389
704,Speech,690.29,11,232
705,Once,82.97,3,151
706,Kind,29.88,17,488
707,Out,113.68,22,88
708,Growth,889.05,11,375
709,Ability,84.25,6,174
710,Medical,598.09,40,458
711,Daughter,487.91,2,221
712,Culture,943.02,11,311
713,Boy,890.86,11,28
714,Significant,110.25,14,499
715,Follow,198.08,45,284
716,Set,724.82,47,277
717,South,272.61,19,153
718,Large,245.17,4,202
719,Enter,576.05,32,79
720,Safe,63.96,1,219
721,Summer,96.75,43,321
722,Expert,604.21,13,50
723,Peace,35.48,11,327
724,Decision,298.89,6,243
725,Production,845.33,20,402
726,Interest,403.49,32,459
727,Relationship,664.43,6,329
728,Thousand,548.68,12,190
729,Play,886.64,24,96
730,Other,451.32,17,226
731,Organization,470.41,15,429
732,Heavy,275.88,4,78
733,Big,754.71,43,50
734,Husband,94.85,23,414
735,Marriage,546.03,49,302
736,Probably,235.24,4,431
737,Deal,393.24,34,215
738,Voice,965.97,44,444
739,Election,937,37,452
740,Garden,243.29,20,41
741,Answer,400.86,46,18
742,Toward,507.08,34,410
743,Great,575.77,40,76
744,Heavy,129.08,49,230
745,Market,181.15,11,498
746,Song,219.77,13,65
747,Effect,52.25,6,350
748,No,441.04,41,76
749,Goal,835.77,17,164
750,Mind,911.7,5,45
751,Drive,394.22,26,283
752,Lawyer,332.87,18,267
753,Or,463.58,1,403
754,Admit,703.41,38,268
755,Road,783.87,8,213
756,Ball,158.15,37,302
757,Board,586.85,7,474
758,Other,114.58,50,52
759,War,787.89,35,451
760,Certain,350.43,27,136
761,During,389.21,32,293
762,Item,612.87,3,89
763,Trial,282.66,10,317
764,Animal,612.57,45,206
765,Democratic,48.39,22,354
766,Manage,245.2,48,244
767,Itself,921.63,24,11
768,Nor,344.49,20,160
769,Single,287.54,32,440
770,Baby,699.22,7,498
771,Board,870.21,9,154
772,Responsibility,974.48,29,397
773,Official,827.57,18,374
774,Let,422.61,42,46
775,Serious,196.06,14,468
776,Central,825.73,48,249
777,Do,761.9,24,421
778,Sing,65.64,11,34
779,Difficult,318.01,33,207
780,Discover,144.29,34,451
781,Hospital,572.99,12,99
782,Bill,876.43,13,429
783,Although,67.05,3,234
784,Establish,60.05,24,361
785,Activity,207.12,24,422
786,Why,469.58,26,326
787,People,923.84,44,16
788,Issue,249.52,32,305
789,Camera,451.64,31,301
790,Fast,555.82,23,84
791,Question,839.28,17,384
792,Per,832.56,6,146
793,Voice,37.18,4,84
794,Listen,855.28,50,495
795,Walk,222.18,15,332
796,Determine,232.86,14,138
797,Better,655.07,33,11
798,Grow,865.98,50,350
799,Wind,18.81,9,332
800,Economic,181.47,1,115
801,Population,259.87,20,365
802,By,967.35,42,141
803,Better,429.57,25,437
804,Support,355.22,17,112
805,Enough,472.03,44,267
806,Strong,826.07,26,300
807,Piece,111.29,33,340
808,Not,966.82,24,288
809,Skin,650.87,39,145
810,Professional,305.49,7,247
811,Writer,73.2,18,328
812,Sort,331.89,18,134
813,Effect,659.56,42,153
814,Another,196.48,34,392
815,Maybe,247.9,4,413
816,Risk,858.74,39,207
817,Factor,663.93,44,72
818,Number,724.07,42,255
819,Computer,997.49,17,465
820,Really,424.38,25,378
821,Sometimes,44.97,46,293
822,Safe,817.85,22,372
823,Shoulder,716.24,44,274
824,According,641.93,31,465
825,With,941.26,23,260
826,Thousand,307.19,11,431
827,Might,661.04,36,93
828,Technology,300.85,31,66
829,Direction,743.51,47,414
830,Stuff,563.44,12,485
831,Its,682.92,22,336
832,Very,98.41,23,115
833,Give,746.77,20,216
834,Black,790.21,22,191
835,Behavior,267.95,19,238
836,Most,852.7,31,28
837,Pass,867.73,38,298
838,Drop,944.86,5,242
839,Wish,890.53,33,62
840,Parent,868.82,25,272
841,Fall,305.37,4,446
842,A,855.7,9,103
843,Late,349.24,37,458
844,Same,907.55,30,74
845,Happy,323.22,46,93
846,Worry,781.15,32,171
847,Heavy,634.72,12,161
848,Some,638.15,1,232
849,Local,280.79,49,397
850,Only,176.92,49,82
851,Safe,494.68,49,400
852,Community,97.16,40,223
853,Agreement,637.15,26,220
854,Single,965.67,25,3
855,Bill,47.35,13,375
856,Product,379.37,1,457
857,Owner,328.99,34,98
858,Against,27.74,1,321
859,Region,736.27,15,356
860,Face,878.22,20,67
861,Data,111.68,33,302
862,Consider,313.05,5,422
863,Test,55.26,19,234
864,Close,730.55,39,269
865,East,344.46,44,69
866,Sing,349.31,32,184
867,Answer,752.61,11,486
868,Significant,907.83,26,10
869,Country,236.13,47,68
870,Deal,219.08,2,302
871,Their,509.59,8,188
872,Determine,714,3,193
873,Decade,877.78,17,395
874,Cause,539.39,4,305
875,Find,994.73,43,56
876,Magazine,657.03,2,25
877,Ask,692.85,27,228
878,Recently,386.45,36,130
879,Listen,479.65,10,106
880,Draw,698.24,41,5
881,Present,308.11,43,52
882,Center,665.86,18,319
883,Almost,609.58,9,215
884,Buy,832.35,7,262
885,She,721.58,8,145
886,While,122.87,7,255
887,Shake,206.66,13,399
888,Democratic,270.36,34,499
889,Hit,209.66,46,210
890,Product,302.4,3,281
891,Something,501.39,14,353
892,Up,933.79,22,121
893,Sort,12.71,43,46
894,Firm,907.81,37,343
895,They,499.16,6,400
896,Right,516.59,47,371
897,Lay,110.28,17,330
898,Class,238.85,19,136
899,Rise,469.63,7,417
900,At,182.95,3,437
901,These,297.66,44,161
902,Wear,431.74,8,49
903,Cold,852.73,3,5
904,Matter,853.48,43,332
905,Human,178.81,23,458
906,Account,443.34,40,138
907,Congress,879.69,6,191
908,House,816.81,12,59
909,Already,406.77,30,140
910,No,837.35,45,436
911,Continue,483.46,27,333
912,Return,887.26,11,58
913,Threat,141.19,47,31
914,Walk,981.75,11,54
915,Kitchen,421.87,38,248
916,Boy,804.24,44,225
917,Become,189.45,25,399
918,South,365.01,2,442
919,Coach,687.62,47,499
920,Development,892.85,31,472
921,Baby,493.24,27,226
922,Class,55.51,17,336
923,Just,321.1,46,445
924,Boy,681.15,50,381
925,Learn,580.88,37,115
926,Drop,978.12,43,448
927,Scene,344.92,34,353
928,Tax,703.57,7,222
929,Compare,665.1,16,247
930,Exactly,352.29,44,329
931,Sell,391.03,36,457
932,Nature,987.91,4,6
933,Sell,646.96,11,259
934,One,850.36,32,446
935,Usually,173.75,49,252
936,Research,327.43,22,497
937,Nice,285.38,33,115
938,Wear,554.99,25,207
939,Work,818.93,6,236
940,Perhaps,449.75,37,230
941,Way,97.14,32,229
942,Whose,322.9,32,382
943,Pay,656.84,7,207
944,Girl,418.22,36,282
945,Various,10.17,6,406
946,Local,608.16,40,327
947,Coach,311.55,33,288
948,Them,214.78,43,234
949,Phone,950.85,24,423
950,No,63.73,15,433
951,Recent,459.92,36,393
952,Our,623.56,31,367
953,Dinner,660.6,46,232
954,List,122.88,49,338
955,Large,229.53,22,182
956,Consider,831.59,19,281
957,Popular,526.77,45,55
958,Think,55.32,11,253
959,Study,149.04,46,381
960,Light,724.34,7,131
961,Family,614.74,13,62
962,Four,930.91,26,111
963,Ever,462.48,13,367
964,Police,344.55,49,213
965,Difficult,56.04,41,429
966,With,675.42,8,396
967,Similar,892.84,30,338
968,Success,593.42,33,69
969,Sport,964.22,1,272
970,Thing,738.85,36,479
971,Again,438.48,38,248
972,Deal,925.13,50,472
973,Into,911.08,45,297
974,Find,181.91,9,54
975,How,393.53,39,311
976,Spring,883.87,33,452
977,North,390.82,39,469
978,Make,695.59,16,141
979,Within,403.89,22,497
980,Benefit,301.23,9,71
981,Two,418.62,45,454
982,Party,750.94,20,432
983,Business,704.48,21,365
984,Style,739.45,36,324
985,Run,225.17,14,320
986,Card,717.24,44,177
987,Wear,921.98,9,364
988,Arm,653.59,12,258
989,Drug,547.07,41,166
990,Since,713.25,49,181
991,School,566.66,38,293
992,None,943.25,46,214
993,Tough,677.5,35,147
994,Budget,878.7,28,414
995,Opportunity,22.64,7,13
996,Measure,387.06,4,344
997,Indicate,66.04,18,385
998,Where,787.68,19,350
999,Rate,258.06,4,354
1000,Partner,786.51,14,386
1001,Seem,545.76,23,417
1002,Sing,458.07,40,445
1003,Technology,678.77,36,443
1004,Central,232.06,42,288
1005,Argue,395,33,402
1006,National,798.87,45,148
1007,Couple,696.01,4,475
1008,Nothing,387.77,27,490
1009,Type,790.23,44,161
1010,Each,966.17,4,7
1011,Successful,746.23,13,318
1012,Card,870.16,29,425
1013,Effect,233.29,41,361
1014,Whatever,712.45,24,387
1015,Apply,592.5,48,309
1016,Movie,204.5,47,494
1017,Toward,201.56,29,91
1018,Policy,983.62,5,96
1019,Of,962.85,48,264
1020,Usually,128.16,3,220
1021,Back,286.32,17,67
1022,Effort,169.32,17,3
1023,Nothing,337.26,46,480
1024,Old,163.26,10,476
1025,Because,329.4,4,397
1026,Group,933.06,40,432
